Season,Race,Driver,Team,Stint,Compound,NumLaps,DegRate,Intercept,MeanLapTime,WetAffected
season2025,Mexico City,BOR,Kick Sauber,1.0,MEDIUM,33,0.06447094536835621,83.82866847995027,84.01693939393938,False
season2025,Mexico City,BOR,Kick Sauber,2.0,SOFT,31,0.07944686786710628,83.69998731930004,82.08216129032259,False
season2025,Mexico City,COL,Alpine,1.0,HARD,44,0.04112579910675261,84.7949626499693,84.44243181818183,False
season2025,Mexico City,COL,Alpine,2.0,SOFT,18,0.08709597523219663,84.08571448228416,81.78272222222223,False
season2025,Mexico City,GAS,Alpine,1.0,MEDIUM,29,0.03506434575375939,85.12029892757079,84.76420689655173,False
season2025,Mexico City,GAS,Alpine,2.0,SOFT,33,0.06271891711230118,84.52154434046345,82.84548484848486,False
season2025,Mexico City,HAD,Racing Bulls,1.0,MEDIUM,30,0.0764262438460131,83.58197132136158,83.9755,False
season2025,Mexico City,HAD,Racing Bulls,2.0,SOFT,33,0.10008355614973136,83.29433622994654,82.5360909090909,False
season2025,Mexico City,HAM,Ferrari,1.0,SOFT,19,0.08432695780659907,82.3809954030537,83.00905263157895,False
season2025,Mexico City,HAM,Ferrari,2.0,MEDIUM,22,0.055685488424617326,83.62779503105595,82.37136363636365,False
season2025,Mexico City,HAM,Ferrari,3.0,SOFT,20,0.11767894736842016,82.8981052631579,81.38695,False
season2025,Mexico City,HUL,Kick Sauber,1.0,SOFT,21,0.024680666143320894,84.72336222944939,84.30466666666665,False
season2025,Mexico City,LEC,Ferrari,1.0,SOFT,27,0.09768560976647339,82.32892768726865,83.04825925925927,False
season2025,Mexico City,LEC,Ferrari,2.0,MEDIUM,36,0.04623449163449171,83.8635385242385,81.98761111111111,False
season2025,Mexico City,NOR,McLaren,1.0,SOFT,30,0.07443349461834696,82.20937148217637,82.56630000000001,False
season2025,Mexico City,NOR,McLaren,2.0,MEDIUM,34,0.0615550802139029,83.28193689839571,81.53320588235295,False
season2025,Mexico City,OCO,Haas F1 Team,1.0,SOFT,23,0.06809871855718941,83.5716668248695,83.7658695652174,False
season2025,Mexico City,OCO,Haas F1 Team,2.0,MEDIUM,41,0.042166450288969315,84.37013485216515,82.60217073170732,False
season2025,Mexico City,PIA,McLaren,1.0,SOFT,20,0.05397298027560146,83.1799404215077,83.3282,False
season2025,Mexico City,PIA,McLaren,2.0,MEDIUM,21,0.07965064935064797,83.33490649350651,82.31071428571428,False
season2025,Mexico City,PIA,McLaren,3.0,SOFT,20,0.06149548872180403,83.29906541353384,80.97325,False
season2025,Mexico City,RUS,Mercedes,1.0,SOFT,21,0.07245015139620993,82.80900459795897,83.26733333333334,False
season2025,Mexico City,RUS,Mercedes,2.0,MEDIUM,21,0.07788571428571354,83.37165714285716,82.27128571428572,False
season2025,Mexico City,RUS,Mercedes,3.0,SOFT,19,0.1313754385964904,82.85500701754385,81.44926315789473,False
season2025,Mexico City,SAI,Williams,1.0,MEDIUM,13,0.07508944182918441,83.93774848688635,84.13246153846156,False
season2025,Mexico City,SAI,Williams,2.0,SOFT,27,0.06926068376068309,83.18438176638178,82.67107407407406,False
season2025,Mexico City,SAI,Williams,3.0,SOFT,8,0.13822619047619164,82.64645238095235,80.98887500000001,False
season2025,Mexico City,SAI,Williams,4.0,SOFT,10,0.12038181818182038,82.64345454545445,81.5534,False
season2025,Mexico City,STR,Aston Martin,1.0,SOFT,22,0.04892422465162153,83.96885769248813,83.88186363636363,False
season2025,Mexico City,STR,Aston Martin,2.0,MEDIUM,15,0.09899285714285794,83.48227142857142,82.54719999999999,False
season2025,Mexico City,STR,Aston Martin,3.0,SOFT,24,0.0580813043478268,84.29652942028987,82.03120833333334,False
season2025,Mexico City,TSU,Red Bull Racing,1.0,MEDIUM,32,0.08072913378923274,83.33052928283361,83.82903124999999,False
season2025,Mexico City,TSU,Red Bull Racing,2.0,SOFT,32,0.06367981298375967,83.90665453447268,82.07909375,False
season2025,Mexico City,VER,Red Bull Racing,1.0,MEDIUM,33,0.0734617753341634,82.91269925396331,83.27969696969696,False
season2025,Mexico City,VER,Red Bull Racing,2.0,SOFT,30,0.05748809788654043,83.16541542454578,81.34393333333334,False
season2025,Miami Gardens,ALB,Williams,2.0,HARD,24,0.031655652173910885,93.02356536231888,90.94841666666666,False
season2025,Miami Gardens,ALO,Aston Martin,2.0,MEDIUM,23,0.07518972332015794,93.77769169960473,92.35534782608694,False
season2025,Miami Gardens,ANT,Mercedes,2.0,HARD,24,0.04480391304347942,93.05377217391302,91.15612500000002,False
season2025,Miami Gardens,GAS,Alpine,2.0,MEDIUM,24,0.0782030434782619,93.10596724637679,91.65920833333332,False
season2025,Miami Gardens,HAD,Racing Bulls,1.0,HARD,30,0.0352362457622082,93.08355070481174,91.44633333333334,False
season2025,Miami Gardens,HAM,Ferrari,2.0,MEDIUM,24,0.07347478260869521,92.58717376811596,91.07658333333332,False
season2025,Miami Gardens,HUL,Kick Sauber,1.0,HARD,8,0.04829999999999429,94.18670000000007,92.8815,False
season2025,Miami Gardens,HUL,Kick Sauber,2.0,MEDIUM,19,0.09333859649122868,92.91332807017542,91.35505263157894,False
season2025,Miami Gardens,LEC,Ferrari,2.0,HARD,24,0.034550434782609,92.99673579710144,90.96066666666667,False
season2025,Miami Gardens,NOR,McLaren,2.0,HARD,23,0.0882499999999986,91.49332608695651,90.19882608695652,False
season2025,Miami Gardens,OCO,Haas F1 Team,1.0,HARD,29,0.06260724742756725,92.7617418086501,91.6446896551724,False
season2025,Miami Gardens,PIA,McLaren,2.0,HARD,23,0.0730543478260864,91.82350000000002,90.3162608695652,False
season2025,Miami Gardens,RUS,Mercedes,2.0,MEDIUM,24,0.04481521739130418,92.74070289855074,90.84320833333334,False
season2025,Miami Gardens,SAI,Williams,2.0,HARD,24,0.03600260869565231,93.12713144927534,91.11066666666666,False
season2025,Miami Gardens,STR,Aston Martin,1.0,HARD,29,0.042621325408138386,93.98631233694627,92.537275862069,False
season2025,Miami Gardens,TSU,Red Bull Racing,2.0,HARD,24,0.04595173913043496,93.1699431884058,91.28779166666668,False
season2025,Miami Gardens,VER,Red Bull Racing,2.0,HARD,24,0.059081739130433714,92.5077298550725,90.80283333333334,False
season2025,Monaco,ALB,Williams,1.0,MEDIUM,23,-0.14269428014518065,83.0428657077564,78.62134782608695,False
season2025,Monaco,ALB,Williams,3.0,HARD,35,-0.10432380952380994,82.23498095238097,77.00782857142858,False
season2025,Monaco,ALO,Aston Martin,2.0,HARD,19,-0.03778596491228297,78.89806315789481,76.95963157894737,False
season2025,Monaco,ANT,Mercedes,1.0,HARD,59,0.024200278821345587,80.16401982347352,78.98371186440679,False
season2025,Monaco,BEA,Haas F1 Team,2.0,HARD,8,0.5544090909090895,72.90940909090911,77.8485,False
season2025,Monaco,BEA,Haas F1 Team,3.0,MEDIUM,57,0.03442804462934948,79.69223420953105,78.12600000000002,False
season2025,Monaco,BOR,Kick Sauber,2.0,HARD,17,0.14679424694189683,76.84767622324158,78.19658823529412,False
season2025,Monaco,BOR,Kick Sauber,4.0,MEDIUM,39,0.0412248987854234,80.35300094466938,78.12494871794871,False
season2025,Monaco,COL,Alpine,2.0,MEDIUM,11,0.18414545454545364,76.07460000000003,77.55263636363635,False
season2025,Monaco,COL,Alpine,3.0,MEDIUM,48,0.023279673469387325,80.33420359183674,78.0695625,False
season2025,Monaco,HAD,Racing Bulls,3.0,HARD,56,0.06668775357576719,77.96671083481358,77.34153571428571,False
season2025,Monaco,HAM,Ferrari,1.0,HARD,9,-0.4601239837398379,83.74333536585367,77.73355555555555,False
season2025,Monaco,HAM,Ferrari,2.0,HARD,35,0.06482754512157346,76.4006471470809,75.66697142857143,False
season2025,Monaco,HAM,Ferrari,3.0,MEDIUM,21,0.04108571428571518,78.97695238095237,75.8532380952381,False
season2025,Monaco,HUL,Kick Sauber,2.0,HARD,29,0.08634608792255409,78.72356340263453,78.57158620689655,False
season2025,Monaco,HUL,Kick Sauber,3.0,SOFT,31,0.030882258064517377,80.90229193548385,78.07229032258064,False
season2025,Monaco,LAW,Racing Bulls,1.0,MEDIUM,22,-0.16061285371325107,82.76679818174665,78.67995454545454,False
season2025,Monaco,LAW,Racing Bulls,3.0,HARD,36,0.10124658944659012,77.65838936078937,76.46144444444444,False
season2025,Monaco,LEC,Ferrari,1.0,MEDIUM,13,-0.21045823876532002,80.196758284158,76.45992307692308,False
season2025,Monaco,LEC,Ferrari,2.0,HARD,24,0.015117942122188822,76.5712753054662,74.80624999999999,False
season2025,Monaco,LEC,Ferrari,3.0,MEDIUM,28,0.11086152162014432,76.96727613574161,75.47071428571428,False
season2025,Monaco,NOR,McLaren,1.0,MEDIUM,10,-0.2610339830084965,80.35001799100448,76.46279999999999,False
season2025,Monaco,NOR,McLaren,2.0,HARD,28,0.03757804132275146,76.23949184326345,74.91760714285715,False
season2025,Monaco,NOR,McLaren,3.0,HARD,27,0.0746611721611722,77.96304538054535,75.50796296296296,False
season2025,Monaco,OCO,Haas F1 Team,2.0,MEDIUM,10,0.1355575757575774,77.01954545454542,77.20540000000001,False
season2025,Monaco,OCO,Haas F1 Team,3.0,HARD,47,0.07860389953702807,78.13413323537257,77.20431914893616,False
season2025,Monaco,PIA,McLaren,1.0,MEDIUM,11,-0.33429320754716885,81.95814867924526,76.93272727272728,False
